6285737305142,ADI KARYA,2025-08-27T07:59:57.273Z
6285236516699,ADI RASA,2025-08-27T08:00:32.421Z
6285331301565,ADIAN 2,2025-08-27T08:01:06.124Z
6285655551199,ADIL 4,2025-08-27T08:01:42.475Z
6285655551199,ADIL 8,2025-08-27T08:02:15.293Z
6281916486445,AGEN TELUR WIRYAGUNA,2025-08-27T08:02:48.397Z
6285829435543,Agus Cell,2025-08-27T08:03:24.523Z
6282146911869,AGUS CELL PANGKUNG JANGU,2025-08-27T08:03:57.591Z
6285257387274,AHONG MART 2,2025-08-27T08:04:30.628Z
6285961563512,AIRA MAKMUR JAYA 2,2025-08-27T08:05:05.141Z
6282301651789,AIRA SEMBAKO,2025-08-27T08:05:38.237Z
6287864354470,Ajik Jelantik,2025-08-27T08:06:11.292Z
6281237897255,AL FATIR,2025-08-27T08:06:50.505Z
6285738540688,AL HIKMAH 2,2025-08-27T08:07:23.569Z
6281939090914,AL MAYRA,2025-08-27T08:07:56.639Z
6287884738410,ALFARADIS,2025-08-27T08:08:29.776Z
6281339594333,ALFASALAM MART,2025-08-27T08:09:03.439Z
6282333663326,ALFIN,2025-08-27T08:09:36.478Z
6287766694692,Alif Mart,2025-08-27T08:10:13.088Z
6282144633010,Alim Market,2025-08-27T08:10:46.228Z
6281917615444,AM MART PEJENG,2025-08-27T08:11:25.566Z
6287853437322,AMIRA JAYA,2025-08-27T08:12:01.863Z
6285237809813,Amira Sotre,2025-08-27T08:12:34.916Z
6281338208466,Angga Fotocopy,2025-08-27T08:13:14.214Z
6287762688870,Angkringan Mewah,2025-08-27T08:13:47.493Z
6282147280533,Ani Cell,2025-08-27T08:14:20.610Z
6281802000889,ANIMALS LOVER,2025-08-27T08:14:53.697Z
6282301825718,ANNOR HIDAYAH,2025-08-27T08:15:30.136Z
6281918158091,Ansori lancar jaya,2025-08-27T08:16:06.795Z
6282146844246,ANUGRAH SARI,2025-08-27T08:16:39.914Z
6283119640010,APOTEK HITAKARA,2025-08-27T08:17:16.110Z
6287855751100,APOTEK PARISMA 2,2025-08-27T08:17:52.283Z
6282340841789,APOTEK PAYANGAN 9,2025-08-27T08:18:25.423Z
628123991729,Apotik Wulan,2025-08-27T08:19:01.715Z
6285238373640,ARDI JAYA,2025-08-27T08:19:37.909Z
6282237445447,ARIE CELL,2025-08-27T08:20:11.394Z
6285858695048,ARIK CELL,2025-08-27T08:20:47.840Z
6287817726965,ARTA MESARI,2025-08-27T08:21:21.015Z
6285935142022,ARTHA CELL,2025-08-27T08:21:54.066Z
6281230748188,ARTHA DANA SAYUR DAN SEMBAKO GROSIR,2025-08-27T08:22:27.172Z
6285792628453,ARTHA JAYA,2025-08-27T08:23:00.221Z
628123951510,ARYA CELL,2025-08-27T08:23:33.219Z
6282236180074,Arya Jaya Mart,2025-08-27T08:24:06.387Z
6285336401350,ASMA JAYA CELL,2025-08-27T08:24:51.937Z
628970281668,ASRI MART,2025-08-27T08:25:31.378Z
6281547481262,ATK Kayana Sudirman,2025-08-27T08:26:16.857Z
6281999973058,AUNA JAYA,2025-08-27T08:26:52.976Z
6281238304961,AVRIL MART 2,2025-08-27T08:27:26.012Z
6287805672112,AVRIL MART 3,2025-08-27T08:37:48.497Z
6281239966600,AYAPI GEPREK VIRAL DIPONEGORO ,2025-08-27T08:38:21.547Z
6287810044004,AYU DEWATA,2025-08-27T08:38:54.793Z
628980580641,AYU SINTA,2025-08-27T08:39:34.337Z
6282140203376,Ayung Cell,2025-08-27T08:40:07.718Z
6285238313091,B. Maruyah,2025-08-27T08:40:40.960Z
6287761683513,Babi Guling Pak Vira,2025-08-27T08:41:14.097Z
6285339921989,BABUL,2025-08-27T08:41:47.144Z
6281338777152,BAGUS CELLULER,2025-08-27T08:42:29.401Z
6281338332525,Bagus Jaya Mart,2025-08-27T08:43:02.599Z
6281805590777,BAGUS LAUNDRY,2025-08-27T08:43:35.636Z
6285339009365,BAKSO REJEKI,2025-08-27T08:44:08.703Z
6281246655449,BAKSOKA,2025-08-27T08:44:41.740Z
6281338787837,Bali Bagus,2025-08-27T08:45:15.002Z
6281558420395,BALI BAGUS 1,2025-08-27T08:45:48.111Z
6282147330251,Bali Desa Swing,2025-08-27T08:46:21.204Z
6282146427442,BALI HOKI,2025-08-27T08:46:54.264Z
6282232052999,Bali Jungle Swing,2025-08-27T08:47:27.359Z
6281246525878,BALI MART BITERA,2025-08-27T08:48:00.522Z
6281999172323,Bali Werdi,2025-08-27T08:48:33.632Z
6281338727763,BALI WISATA AUTOMATIC CAR WASH,2025-08-27T08:49:06.713Z
6285233404752,Barokah,2025-08-27T08:49:42.901Z
6281357057561,Barokah,2025-08-27T08:50:16.128Z
6285104126111,Barokah,2025-08-27T08:50:49.212Z
